_id,AC No,AC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share (%)
607,57,PATPARGANJ,3,OM SHANKAR PANDEY,Bahujan Samaj Party,747,9,756,0.55
608,57,PATPARGANJ,10,NOTA,None of the Above,688,4,692,0.5
609,57,PATPARGANJ,7,PRAKASH CHANDRA JOSHI,Bhartiya Rashtriya Jansatta,187,1,188,0.14
610,57,PATPARGANJ,5,GOPAL PRASAD,Delhi Janta Party,137,0,137,0.1
611,57,PATPARGANJ,9,DIBLU SINGH,Independent,114,3,117,0.08
612,57,PATPARGANJ,8,JAGDISH  OJHA,Independent,108,0,108,0.08
613,57,PATPARGANJ,6,DEEPA DEVI,Aihra National Party,55,2,57,0.04
614,58,LAXMI NAGAR,1,ABHAY VERMA,Bharatiya Janata Party,65560,298,65858,52.11
615,58,LAXMI NAGAR,2,B B TYAGI,Aam Aadmi Party,54148,168,54316,42.98
616,58,LAXMI NAGAR,4,SUMIT SHARMA,Indian National Congress,4277,39,4316,3.42
617,58,LAXMI NAGAR,16,NOTA,None of the Above,680,6,686,0.54
618,58,LAXMI NAGAR,3,MOHD WAQAR CHOUDHARY,Bahujan Samaj Party,382,6,388,0.31
619,58,LAXMI NAGAR,8,GANDHI GAUTAM,Aazad Samaj Party (Kanshi Ram),172,1,173,0.14
620,58,LAXMI NAGAR,12,VIKAS,Aapsi Sahyog Party,133,2,135,0.11
621,58,LAXMI NAGAR,10,DEEPAK PANDEY,Magadh Congress of Inda,107,0,107,0.08
622,58,LAXMI NAGAR,14,JAGDISH KUMAR GARG,Independent,74,0,74,0.06
623,58,LAXMI NAGAR,15,VIMAL KUMAR SAXENA,Independent,69,0,69,0.05
624,58,LAXMI NAGAR,11,NAMAHA,Nationalist Congress Party,48,0,48,0.04
625,58,LAXMI NAGAR,13,ANURAG KUMAR,Independent,48,0,48,0.04
626,58,LAXMI NAGAR,7,KUSUM LATA,Peoples Party of India (Democratic),44,2,46,0.04
627,58,LAXMI NAGAR,5,ANIMA OJHA,Right to Recall Party,45,0,45,0.04
628,58,LAXMI NAGAR,9,DANVEER VIDYALANKAR,Rashtra Nirman Party,41,0,41,0.03
629,58,LAXMI NAGAR,6,ISMAIL,Voice of Awam Party,32,0,32,0.03
630,59,VISHWAS NAGAR,1,OM PRAKASH SHARMA,Bharatiya Janata Party,71672,469,72141,57.7
631,59,VISHWAS NAGAR,2,DEEPAK SINGHAL,Aam Aadmi Party,46955,144,47099,37.67
632,59,VISHWAS NAGAR,3,RAJIV CHAUDHARY,Indian National Congress,3576,51,3627,2.9
633,59,VISHWAS NAGAR,11,NOTA,None of the Above,1042,5,1047,0.84
634,59,VISHWAS NAGAR,4,RAJESH KUMAR YADAV,Bahujan Samaj Party,436,7,443,0.35
635,59,VISHWAS NAGAR,10,BHAWANA BOTHRA,Veer Janshakti Party,217,0,217,0.17
636,59,VISHWAS NAGAR,6,GURMEET SINGH,Jai Maha Bharath Party,161,0,161,0.13
637,59,VISHWAS NAGAR,9,PARAG JAIN,Aam Aadmi Parivartan Party,142,0,142,0.11
638,59,VISHWAS NAGAR,7,DEEPAK KUMAR,Bharatiy Aam Janta Adhikar Party,47,2,49,0.04
639,59,VISHWAS NAGAR,8,NEELAM SINGH,Peoples Party of India (Democratic),49,0,49,0.04
640,59,VISHWAS NAGAR,5,ANIL KUMAR,National Youth Party,47,0,47,0.04
641,60,KRISHNA NAGAR,1,DR ANIL GOYAL,Bharatiya Janata Party,75623,299,75922,52.94
642,60,KRISHNA NAGAR,4,VIKAS BAGGA CA,Aam Aadmi Party,56332,92,56424,39.35
643,60,KRISHNA NAGAR,3,GURCHARAN SINGH (RAJU),Indian National Congress,9356,37,9393,6.55
644,60,KRISHNA NAGAR,8,NOTA,None of the Above,687,9,696,0.49
645,60,KRISHNA NAGAR,2,AMAR SINGH,Bahujan Samaj Party,544,8,552,0.38
646,60,KRISHNA NAGAR,7,VINOD KAPOOR,Independent,191,0,191,0.13
647,60,KRISHNA NAGAR,5,POONAM MAINI,National Youth Party,131,0,131,0.09
648,60,KRISHNA NAGAR,6,VIDHAYAK VIRENDRA PRADHAN GURJAR,Samrat Mihir Bhoj Samaj Party,96,0,96,0.07
649,61,GANDHI NAGAR,1,ARVINDER SINGH LOVELY,Bharatiya Janata Party,56665,193,56858,53.94
650,61,GANDHI NAGAR,4,NAVEEN CHAUDHARY (DEEPU),Aam Aadmi Party,44059,51,44110,41.85
651,61,GANDHI NAGAR,2,KAMAL ARORA (DABBU),Indian National Congress,3433,20,3453,3.28
652,61,GANDHI NAGAR,7,NOTA,None of the Above,402,0,402,0.38
653,61,GANDHI NAGAR,3,TIKRAJ SINGH,Bahujan Samaj Party,235,0,235,0.22
654,61,GANDHI NAGAR,5,PAWAN CHOUDHRY,Jatiya Jana Sena Party,190,0,190,0.18
655,61,GANDHI NAGAR,6,GULFAM,Independent,156,0,156,0.15
656,62,SHAHDARA,4,SANJAY GOYAL,Bharatiya Janata Party,62477,311,62788,49.63
657,62,SHAHDARA,2,JITENDER SINGH SHUNTY,Aam Aadmi Party,57449,161,57610,45.54
658,62,SHAHDARA,1,JAGAT SINGH,Indian National Congress,3834,28,3862,3.05
659,62,SHAHDARA,3,DHARMINDRA KUMAR KAIM,Bahujan Samaj Party,586,10,596,0.47
660,62,SHAHDARA,10,VINAY CHAUDHARI,Independent,577,2,579,0.46
661,62,SHAHDARA,11,NOTA,None of the Above,555,3,558,0.44
662,62,SHAHDARA,6,NITIN GARG,Aam Aadmi Parivartan Party,181,1,182,0.14
663,62,SHAHDARA,5,KAMAL KISHORE,National Youth Party,145,0,145,0.11
664,62,SHAHDARA,8,ASHOK SURANA,Independent,87,0,87,0.07
