_id,AC No,AC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share (%)
665,62,SHAHDARA,7,RAJENDRA KUMAR PAL,Nationalist Congress Party,58,0,58,0.05
666,62,SHAHDARA,9,DILIP BANERJEE,Independent,52,0,52,0.04
667,63,SEEMAPURI,4,VEER SINGH DHINGAN,Aam Aadmi Party,66186,167,66353,48.45
668,63,SEEMAPURI,3,KU. RINKU,Bharatiya Janata Party,55766,219,55985,40.88
669,63,SEEMAPURI,2,RAJESH LILOTHIA,Indian National Congress,11788,35,11823,8.63
670,63,SEEMAPURI,1,MANOJ,Bahujan Samaj Party,855,12,867,0.63
671,63,SEEMAPURI,6,ANIL KUMAR,Aazad Samaj Party (Kanshi Ram),650,4,654,0.48
672,63,SEEMAPURI,12,NOTA,None of the Above,453,5,458,0.33
673,63,SEEMAPURI,5,AJAY KUMAR,Peoples Party of India (Democratic),276,1,277,0.2
674,63,SEEMAPURI,10,SAROJ BALA,Swatantra Jantaraj Party,163,0,163,0.12
675,63,SEEMAPURI,11,ASHISH KUMAR,Independent,158,0,158,0.12
676,63,SEEMAPURI,9,RAJESH KUMAR LOHIYA,Nationalist Congress Party,110,0,110,0.08
677,63,SEEMAPURI,7,CHARAN SINGH MALIYAN,Right to Recall Party,58,0,58,0.04
678,63,SEEMAPURI,8,RAJESH,Bharatiya Sarvodaya Kranti Party,50,1,51,0.04
679,64,ROHTAS NAGAR,2,JITENDER MAHAJAN,Bharatiya Janata Party,82299,597,82896,57.44
680,64,ROHTAS NAGAR,3,SARITA SINGH,Aam Aadmi Party,54803,191,54994,38.11
681,64,ROHTAS NAGAR,4,SURESHVATI,Indian National Congress,3604,35,3639,2.52
682,64,ROHTAS NAGAR,1,ASHOK KUMAR,Bahujan Samaj Party,930,23,953,0.66
683,64,ROHTAS NAGAR,16,NOTA,None of the Above,628,2,630,0.44
684,64,ROHTAS NAGAR,14,VIKAS TYAGI,Independent,548,2,550,0.38
685,64,ROHTAS NAGAR,11,SURENDER SINGH VISHWAKARMA,Aazad Samaj Party (Kanshi Ram),172,2,174,0.12
686,64,ROHTAS NAGAR,6,ABHISHEK,Nationalist Congress Party,91,0,91,0.06
687,64,ROHTAS NAGAR,15,SURESH PAL JAINTH,Independent,72,0,72,0.05
688,64,ROHTAS NAGAR,8,NASEEM USMAN,Bharatiya Liberal Party,63,0,63,0.04
689,64,ROHTAS NAGAR,9,PANKAJ GUPTA,Sarvodaya Prabhat Party,54,0,54,0.04
690,64,ROHTAS NAGAR,5,AKESHAN DUT,Bhartiya Rashtriya Dal,48,0,48,0.03
691,64,ROHTAS NAGAR,13,NITIN MITTAL,Independent,45,0,45,0.03
692,64,ROHTAS NAGAR,7,AMIT KUMAR SHARMA,Sanjhi Virasat Party,42,1,43,0.03
693,64,ROHTAS NAGAR,12,SANJEEV KUMAR,Jan Samuh Party,34,1,35,0.02
694,64,ROHTAS NAGAR,10,SUBHASH CHAND GUPTA,Bhartiya Rashtrawadi Party,30,0,30,0.02
695,65,SEELAM PUR,3,CHAUDHARY ZUBAIR AHMAD,Aam Aadmi Party,78866,143,79009,59.21
696,65,SEELAM PUR,1,ANIL KUMAR SHARMA (GAUR),Bharatiya Janata Party,36353,179,36532,27.38
697,65,SEELAM PUR,2,ABDUL REHMAN,Indian National Congress,16524,27,16551,12.4
698,65,SEELAM PUR,4,DEEPAK KUMAR,Bahujan Samaj Party,415,7,422,0.32
699,65,SEELAM PUR,14,NOTA,None of the Above,353,2,355,0.27
700,65,SEELAM PUR,6,SHABANA,Rashtriya Republican Party,177,0,177,0.13
701,65,SEELAM PUR,5,MOHD NAZIR,Republican Party of India (Athawale),107,0,107,0.08
702,65,SEELAM PUR,12,MOHD SHAFI,Independent,72,0,72,0.05
703,65,SEELAM PUR,7,SUMAN SHARMA,Sanjhi Virasat Party,50,0,50,0.04
704,65,SEELAM PUR,13,SYED MUNEEB,Independent,46,0,46,0.03
705,65,SEELAM PUR,11,RAHISUDDIN AHMAD,Independent,44,0,44,0.03
706,65,SEELAM PUR,10,MOHD ZUBAIR MALIK,Independent,29,0,29,0.02
707,65,SEELAM PUR,8,S. M. AQIF,Independent,24,0,24,0.02
708,65,SEELAM PUR,9,ISLAUDDIN,Independent,22,0,22,0.02
709,66,GHONDA,1,AJAY MAHAWAR,Bharatiya Janata Party,79706,281,79987,56.96
710,66,GHONDA,2,GAURAV SHARMA,Aam Aadmi Party,53828,101,53929,38.41
711,66,GHONDA,3,BHISHAM SHARMA,Indian National Congress,4859,24,4883,3.48
712,66,GHONDA,10,NOTA,None of the Above,587,1,588,0.42
713,66,GHONDA,4,SUNDER LOHIYA,Bahujan Samaj Party,448,6,454,0.32
714,66,GHONDA,9,GAURAV SHARMA,Independent,277,2,279,0.2
715,66,GHONDA,6,BABITA,Yuva Bharat Rashtraseva Party,114,0,114,0.08
716,66,GHONDA,8,SHUBHAM,Right to Recall Party,84,0,84,0.06
717,66,GHONDA,5,ANIL SINGH,Sanjhi Virasat Party,56,0,56,0.04
718,66,GHONDA,7,ADVOCATE MEHAK DOGRA,Nationalist Congress Party,44,2,46,0.03
719,67,BABARPUR,2,GOPAL RAI,Aam Aadmi Party,76031,161,76192,53.19
720,67,BABARPUR,1,ANIL KUMAR VASHISHT,Bharatiya Janata Party,56758,440,57198,39.93
721,67,BABARPUR,3,MOHD ISHRAQ KHAN,Indian National Congress,8777,20,8797,6.14
722,67,BABARPUR,9,NOTA,None of the Above,471,3,474,0.33
723,67,BABARPUR,5,MD NAZIR,Aman Samaj Party,201,0,201,0.14
724,67,BABARPUR,8,MOHAMMAD ABDULLAH ANSARI,Independent,124,0,124,0.09
725,67,BABARPUR,4,BHUPENDER YADAV,Janhit Dal,93,0,93,0.06
726,67,BABARPUR,7,SHIV KUMAR(KAKE),Sarvodaya Prabhat Party,89,0,89,0.06
727,67,BABARPUR,6,MANOJ KUMAR,Akhil Bharatiya Socialist Party,75,1,76,0.05
728,68,GOKALPUR,4,SURENDRA KUMAR,Aam Aadmi Party,80086,418,80504,48.48
729,68,GOKALPUR,2,PRAVEEN NIMESH,Bharatiya Janata Party,71764,533,72297,43.54
730,68,GOKALPUR,1,ISHWAR SINGH,Indian National Congress,5840,65,5905,3.56
731,68,GOKALPUR,6,ARVIND KUMAR,Aazad Samaj Party (Kanshi Ram),3049,37,3086,1.86
732,68,GOKALPUR,3,LAL SINGH,Bahujan Samaj Party,2518,44,2562,1.54
733,68,GOKALPUR,13,NOTA,None of the Above,589,12,601,0.36
734,68,GOKALPUR,5,ATUL KUMAR,Swaraj Bhartiya Nyay Party,335,4,339,0.2
735,68,GOKALPUR,9,DHARAMVIR SINGH,Peoples Party of India (Democratic),193,2,195,0.12
736,68,GOKALPUR,10,BIR SAIN,Bharatiya Sarvodaya Kranti Party,145,0,145,0.09
737,68,GOKALPUR,12,SURESHPAL JAINTH,Independent,130,3,133,0.08
738,68,GOKALPUR,11,MANJEET SINGH,Jan Samuh Party,125,4,129,0.08
739,68,GOKALPUR,7,CHARAN SINGH MALIYAN,Right to Recall Party,91,0,91,0.05
740,68,GOKALPUR,8,JAGDISH,Nationalist Congress Party,64,0,64,0.04
741,69,MUSTAFABAD,4,MOHAN SINGH BISHT,Bharatiya Janata Party,84888,327,85215,42.36
742,69,MUSTAFABAD,3,ADEEL AHMAD KHAN,Aam Aadmi Party,67511,126,67637,33.62
743,69,MUSTAFABAD,7,MOHD. TAHIR HUSSAIN,All India Majlis-E-Ittehadul Muslimeen,33467,7,33474,16.64
744,69,MUSTAFABAD,1,ALI MEHDI,Indian National Congress,11732,31,11763,5.85
745,69,MUSTAFABAD,2,ASHOK KUMAR,Bahujan Samaj Party,1201,22,1223,0.61
746,69,MUSTAFABAD,13,NOTA,None of the Above,451,4,455,0.23
747,69,MUSTAFABAD,8,DHARAM PAL,Bharatiya Sarvodaya Kranti Party,391,0,391,0.19
748,69,MUSTAFABAD,5,ASHA CHAUDHARY,Bharatiya Sampuran Krantikari Party,236,0,236,0.12
749,69,MUSTAFABAD,11,SAGAR TANHA,Peace Party,227,0,227,0.11
750,69,MUSTAFABAD,10,VISHAL,Peoples Party of India (Democratic),191,1,192,0.1
751,69,MUSTAFABAD,6,MOHD USMAN BAKHSH,Rashtriya Janmorcha,151,0,151,0.08
752,69,MUSTAFABAD,12,JITENDER KUMAR,Independent,122,0,122,0.06
753,69,MUSTAFABAD,9,NASIRUDDIN GAURI,Rashtriya Republican Party,75,0,75,0.04
754,70,KARAWAL NAGAR,2,KAPIL MISHRA,Bharatiya Janata Party,106963,404,107367,53.39
755,70,KARAWAL NAGAR,4,MANOJ KUMAR TYAGI,Aam Aadmi Party,83843,169,84012,41.78
756,70,KARAWAL NAGAR,5,DR. P.K. MISHRA,Indian National Congress,3908,13,3921,1.95
757,70,KARAWAL NAGAR,3,DEVENDRA BHAIYA,Bahujan Samaj Party,1876,11,1887,0.94
758,70,KARAWAL NAGAR,13,AJAY SINGH NEGI,Independent,1002,4,1006,0.5
759,70,KARAWAL NAGAR,16,NOTA,None of the Above,706,3,709,0.35
760,70,KARAWAL NAGAR,12,H.M. HASHIM MALIK,Social Democratic Party Of India,491,0,491,0.24
761,70,KARAWAL NAGAR,1,ASHOK AGARWAL,Communist Party of India  (Marxist),456,1,457,0.23
762,70,KARAWAL NAGAR,7,PRAKASH CHAND,Bahujan Dravida Party,278,0,278,0.14
763,70,KARAWAL NAGAR,14,YOGESH SWAMY,Independent,228,1,229,0.11
764,70,KARAWAL NAGAR,15,VISHAL SHARMA,Independent,173,0,173,0.09
765,70,KARAWAL NAGAR,10,SANJAY MISHRA (SITARAM),Nationalist Congress Party,165,0,165,0.08
766,70,KARAWAL NAGAR,9,SEEMA,Peoples Party of India (Democratic),128,0,128,0.06
767,70,KARAWAL NAGAR,6,NEERAJ,New India United Party,100,0,100,0.05
768,70,KARAWAL NAGAR,8,YOGENDER,Bharatiya Sampuran Krantikari Party,89,1,90,0.04
769,70,KARAWAL NAGAR,11,SANDHIYA TIWARI,Akhil Bharatiya Socialist Party,70,1,71,0.04
